Khu_vuc,Thang,Gia_TB (tr/m2)
Gia Lam,T8/25,67.2
Gia Lam,T9/25,72.5
Gia Lam,T10/25,78.9
Gia Lam,T11/25,76.2
Gia Lam,T12/25,74.2
Gia Lam,T1/26,75.2
Gia Lam,T2/26,75.4
Gia Lam,T3/26,73.8
Ha Dong,T3/21,21.9
Ha Dong,T4/21,22.9
Ha Dong,T5/21,22.8
Ha Dong,T6/21,23.2
Ha Dong,T7/21,23.5
Ha Dong,T8/21,26.2
Ha Dong,T9/21,24.1
Ha Dong,T10/21,23.6
Ha Dong,T11/21,24.0
Ha Dong,T12/21,24.6
Ha Dong,T1/22,24.7
Ha Dong,T2/22,24.9
Ha Dong,T3/22,25.5
Ha Dong,T4/22,26.0
Ha Dong,T5/22,27.9
Ha Dong,T6/22,28.7
Ha Dong,T7/22,29.2
Ha Dong,T8/22,30.2
Ha Dong,T9/22,30.0
Ha Dong,T10/22,31.0
Ha Dong,T11/22,31.5
Ha Dong,T12/22,30.5
Ha Dong,T1/23,31.0
Ha Dong,T2/23,30.2
Ha Dong,T3/23,31.1
Ha Dong,T4/23,30.6
Ha Dong,T5/23,31.1
Ha Dong,T6/23,31.2
Ha Dong,T7/23,30.5
Ha Dong,T8/23,31.4
Ha Dong,T9/23,31.4
Ha Dong,T10/23,32.4
Ha Dong,T11/23,34.0
Ha Dong,T12/23,34.9
Ha Dong,T1/24,36.1
Ha Dong,T2/24,37.6
Ha Dong,T3/24,39.7
Ha Dong,T4/24,41.5
Ha Dong,T5/24,41.9
Ha Dong,T6/24,42.3
Ha Dong,T7/24,42.7
Ha Dong,T8/24,43.9
Ha Dong,T9/24,47.1
Ha Dong,T10/24,51.5
Ha Dong,T11/24,53.0
Ha Dong,T12/24,53.4
Ha Dong,T1/25,56.1
Ha Dong,T2/25,53.8
Ha Dong,T3/25,57.6
Ha Dong,T4/25,59.6
Ha Dong,T5/25,60.4
Ha Dong,T6/25,62.9
Ha Dong,T7/25,61.1
Ha Dong,T8/25,61.2
Ha Dong,T9/25,64.8
Ha Dong,T10/25,70.4
Ha Dong,T11/25,74.3
Ha Dong,T12/25,76.1
Ha Dong,T1/26,77.2
Ha Dong,T2/26,78.3
Ha Dong,T3/26,77.1
Hai Ba Trung,T3/21,43.9
Hai Ba Trung,T4/21,43.6
Hai Ba Trung,T5/21,42.9
Hai Ba Trung,T6/21,44.7
Hai Ba Trung,T7/21,44.3
Hai Ba Trung,T8/21,45.0
Hai Ba Trung,T9/21,44.8
Hai Ba Trung,T10/21,45.6
Hai Ba Trung,T11/21,46.4
Hai Ba Trung,T12/21,48.1
Hai Ba Trung,T1/22,49.5
Hai Ba Trung,T2/22,49.6
Hai Ba Trung,T3/22,51.6
Hai Ba Trung,T4/22,52.5
Hai Ba Trung,T5/22,51.7
Hai Ba Trung,T6/22,51.6
Hai Ba Trung,T7/22,53.4
Hai Ba Trung,T8/22,53.2
Hai Ba Trung,T9/22,53.8
Hai Ba Trung,T10/22,54.4
Hai Ba Trung,T11/22,54.7
Hai Ba Trung,T12/22,55.5
Hai Ba Trung,T1/23,54.9
Hai Ba Trung,T2/23,54.6
Hai Ba Trung,T3/23,54.1
Hai Ba Trung,T4/23,54.9
Hai Ba Trung,T5/23,53.6
Hai Ba Trung,T6/23,54.8
Hai Ba Trung,T7/23,54.2
Hai Ba Trung,T8/23,54.3
Hai Ba Trung,T9/23,54.4
Hai Ba Trung,T10/23,56.9
Hai Ba Trung,T11/23,59.0
Hai Ba Trung,T12/23,59.9
Hai Ba Trung,T1/24,64.3
Hai Ba Trung,T2/24,63.7
Hai Ba Trung,T3/24,67.4
Hai Ba Trung,T4/24,68.3
Hai Ba Trung,T5/24,70.6
Hai Ba Trung,T6/24,73.6
Hai Ba Trung,T7/24,75.8
Hai Ba Trung,T8/24,78.0
Hai Ba Trung,T9/24,81.3
Hai Ba Trung,T10/24,85.0
Hai Ba Trung,T11/24,89.5
Hai Ba Trung,T12/24,85.4
Hai Ba Trung,T1/25,89.9
Hai Ba Trung,T2/25,88.3
Hai Ba Trung,T3/25,83.5
Hai Ba Trung,T4/25,85.3
Hai Ba Trung,T5/25,87.5
Hai Ba Trung,T6/25,85.7
Hai Ba Trung,T7/25,89.7
Hai Ba Trung,T8/25,101.6
Hai Ba Trung,T9/25,107.3
Hai Ba Trung,T10/25,110.1
Hai Ba Trung,T11/25,113.8
Hai Ba Trung,T12/25,116.9
Hai Ba Trung,T1/26,110.8
Hai Ba Trung,T2/26,114.6
Hai Ba Trung,T3/26,112.2
Hoai Duc,T3/21,20.4
Hoai Duc,T4/21,20.5
Hoai Duc,T5/21,20.4
Hoai Duc,T6/21,19.8
Hoai Duc,T7/21,19.9
Hoai Duc,T8/21,18.3
Hoai Duc,T9/21,20.2
Hoai Duc,T10/21,21.0
Hoai Duc,T11/21,22.2
Hoai Duc,T12/21,21.2
Hoai Duc,T1/22,22.3
Hoai Duc,T2/22,20.3
Hoai Duc,T3/22,22.7
Hoai Duc,T4/22,23.2
Hoai Duc,T5/22,23.8
Hoai Duc,T6/22,24.2
Hoai Duc,T7/22,26.3
Hoai Duc,T8/22,26.2
Hoai Duc,T9/22,24.9
Hoai Duc,T10/22,25.6
Hoai Duc,T11/22,29.1
